Cod_setor;Situacao_setor;V001;V002;V003
230075440000001;1;93;0;0
230075440000002;8;300;7;0
230075440000003;5;114;0;0
230075440000004;8;324;5;1
230075440000005;8;134;1;1
230075440000006;8;149;1;0
230075440000007;8;174;0;0
230080405000001;1;139;3;0
230080405000002;1;75;0;0
230080405000003;1;129;1;0
230080405000004;1;126;2;0
230080405000005;8;172;0;0
230080405000006;8;124;2;0
230080405000007;1;65;0;0
230080405000008;1;85;0;0
230080405000009;1;84;0;0
230080405000010;1;151;0;0
230080405000011;5;23;0;0
230080410000001;1;37;0;0
230080410000002;8;115;0;0
230090305000001;1;104;0;0
230090305000002;1;104;1;0
230090305000003;1;66;3;0
230090305000004;1;119;3;0
230090305000005;1;182;0;0
230090305000006;1;31;0;0
230090305000007;8;91;1;0
230090305000008;8;79;2;0
230090305000009;8;70;0;0
230090305000010;8;120;0;0
230090305000011;8;111;2;0
230090305000012;7;38;0;0
230090305000013;1;133;2;0
230090305000014;1;86;1;0
230090305000015;1;70;3;0
230090305000016;5;55;0;0
230090305000017;8;109;0;0
230090305000018;8;52;0;0
230090310000001;1;42;0;0
230090310000002;8;191;2;0
230090310000003;8;109;0;0
230090310000004;8;130;0;0
230090310000005;7;27;0;0
230090315000001;1;41;0;0
230090315000002;8;85;1;0
230090315000003;8;44;0;0
230090315000004;8;147;5;0
230090315000005;8;49;0;0
230100005000001;1;179;0;0
230100005000002;1;95;0;0
230100005000003;1;96;0;0
230100005000004;1;61;0;0
230100005000005;1;208;1;0
230100005000006;1;163;1;0
230100005000007;1;124;3;0
230100005000008;1;204;3;0
230100005000009;2;168;1;1
230100005000010;1;164;0;0
230100005000011;1;16;0;0
230100005000012;1;27;0;0
230100005000013;1;65;0;0
230100005000014;1;141;2;0
230100005000015;1;106;0;0
230100005000016;1;108;0;0
230100005000017;2;178;0;0
230100005000018;2;270;3;1
230100005000019;2;220;3;0
230100005000020;2;420;0;0
230100005000021;1;144;2;0
230100005000022;1;114;0;0
230100005000023;1;77;1;0
230100005000024;1;122;0;2
230100005000025;1;87;0;0
230100005000026;1;67;0;0
230100005000027;1;312;9;0
230100005000028;1;44;0;0
230100005000029;1;49;1;0
230100005000030;2;166;1;0
230100005000031;1;312;3;0
230100005000032;1;48;0;0
230100005000033;1;0;"X";"X"
230100005000034;1;2;"X";"X"
230100005000035;1;76;0;0
230100005000036;1;32;0;0
230100005000037;1;53;0;0
230100007000001;1;63;0;0
230100007000002;2;162;1;0
230100007000003;2;151;4;0
230100007000004;2;183;1;0
230100007000005;2;236;5;0
230100007000006;2;160;3;0
230100007000007;2;70;1;0
230100007000008;2;88;0;0
230100007000009;2;132;3;0
230100007000010;2;118;1;0
230100007000011;2;250;0;0
230100007000012;8;0;0;0
230100007000013;8;58;0;0
230100007000014;2;73;2;0
230100008000001;1;137;2;0
230100008000002;8;153;2;0
230100008000003;8;15;0;0
230100008000004;1;25;0;0
230100008000005;8;18;1;0
230100015000001;1;55;0;0
230100015000002;1;90;0;0
230100015000003;1;14;0;0
230100015000004;1;22;0;0
230100015000005;2;103;3;0
230100015000006;2;2;0;0
230100015000007;3;242;1;0
230100015000008;2;68;3;0
230100015000009;1;61;0;0
230100015000010;1;54;1;0
230100015000011;2;102;0;0
230100015000012;1;39;0;0
230100015000013;1;171;2;0
230100015000014;1;138;2;0
230100015000016;2;35;"X";"X"
230100017000001;1;13;1;0
230100017000002;2;229;8;0
230100017000003;2;180;0;0
230100017000004;2;250;6;0
230100017000005;2;131;2;0
230100017000006;2;233;7;1
230100020000001;1;24;0;0
230100020000002;2;102;0;0
230100020000003;2;290;1;0
230100020000004;2;65;0;0
230100020000005;8;155;0;1
230100020000006;8;215;0;0
230100020000007;2;347;4;0
230100020000008;8;205;10;0
230100020000009;2;117;0;0
230100025000001;1;57;0;0
230100025000002;2;125;5;0
230100025000003;2;252;1;0
230100025000004;1;150;6;0
230100025000005;2;106;0;0
230100025000006;2;115;0;0
230100030000001;1;155;2;0
230100030000002;1;130;0;0
230100030000003;2;177;0;0
230100030000004;2;45;0;0
230100030000005;2;21;2;0
230100030000006;2;163;5;0
230100030000007;2;98;0;0
230100030000008;2;162;0;1
230100030000009;2;165;2;0
230100030000010;2;66;0;0
230100030000011;2;153;1;1
230100030000012;2;112;0;0
230110905000001;1;45;0;0
230110905000002;1;60;0;0
230110905000003;1;40;0;0
230110905000004;1;66;0;0
230110905000005;1;69;0;0
230110905000006;1;120;0;0
230110905000007;1;62;0;0
230110905000008;1;146;0;0
230110905000009;1;167;0;0
230110905000010;1;121;0;0
230110905000011;1;92;0;0
230110905000012;1;184;2;0
230110905000013;1;83;2;0
230110905000014;1;89;0;0
230110905000015;1;59;2;0
230110905000016;1;300;1;0
230110905000017;1;142;1;0
230110905000018;1;105;0;0
230110905000019;1;102;0;0
230110905000020;1;71;0;0
230110905000021;1;90;0;0
230110905000022;1;94;0;0
230110905000023;1;115;0;0
230110905000024;1;150;0;1
230110905000025;1;117;0;0
230110905000026;1;124;0;0
230110905000027;1;86;0;0
230110905000028;1;97;1;0
230110905000029;1;89;0;0
230110905000030;1;132;1;0
230110905000031;1;170;0;0
230110905000032;1;121;0;0
230110905000033;1;145;0;0
230110905000034;3;74;0;0
230110905000035;3;96;2;0
230110905000036;3;92;0;0
230110905000037;3;248;0;0
230110905000038;3;10;0;0
230110905000039;3;217;3;0
230110905000040;3;81;0;0
230110905000041;5;69;0;0
230110905000042;8;145;0;0
230110905000043;5;93;0;1
230110905000044;8;50;0;0
230110905000045;5;226;0;0
230110905000046;8;108;0;0
230110905000047;5;36;0;0
230110905000048;8;98;0;0
230110905000049;5;37;0;0
230110905000050;5;123;3;0
230110905000051;8;171;1;0
230110905000052;8;173;0;0
230110905000053;8;13;0;0
230110905000054;8;175;0;0
230110905000055;5;99;0;0
230110905000056;8;213;1;0
230110905000057;8;156;0;0
230110905000058;8;200;0;0
230110905000059;8;31;1;0
230110905000060;8;39;0;0
230110905000061;8;65;1;0
230110905000062;1;47;0;0
230110905000063;1;58;0;0
230110905000064;1;81;0;0
230110905000065;1;71;0;0
230110905000066;1;171;0;0
230110905000067;1;97;0;0
230110905000068;1;83;0;0
230110905000069;1;80;1;0
230110905000070;1;29;0;0
230110905000071;1;119;0;0
230110905000072;1;120;0;0
230110905000073;1;84;0;0
230110905000074;1;56;0;0
230110905000075;1;58;0;0
230110905000076;1;79;0;0
230110905000077;1;82;0;0
230110905000078;1;180;2;1
230110905000079;1;73;0;0
230110905000080;3;92;1;0
230110905000081;1;311;1;0
230110905000082;1;75;0;0
230110905000083;3;79;0;0
230110905000084;3;22;1;0
230110905000085;8;56;0;0
230110905000086;1;27;1;0
230110905000088;3;80;0;0
230110905000089;3;4;1;0
230110905000090;1;82;1;0
230110905000091;5;175;3;0
230110905000092;8;48;0;0
230110907000001;1;66;0;0
230110907000002;8;123;1;0
230110907000003;5;81;0;0
230110907000004;5;134;0;0
230110907000005;8;145;2;0
230110910000001;1;15;0;0
230110910000002;8;57;0;0
230110910000003;5;74;0;0
230110916000001;1;51;0;0
230110916000002;8;144;0;0
230110916000003;8;131;2;0
230110916000004;8;6;0;0
230110916000005;8;4;0;0
230110924000001;1;44;0;0
230110924000002;8;158;0;0
230110935000002;8;189;3;0
230110935000003;8;114;0;0
230110935000004;5;91;0;0
230110935000005;5;87;1;0
230110935000006;8;80;0;0
230110935000008;5;65;0;0
230110940000001;1;92;0;1
230110940000002;8;149;1;0
230110940000004;8;71;0;0
230120805000001;1;79;0;0
230120805000002;1;127;1;0
230120805000003;1;98;1;0
230120805000004;1;62;3;0
230120805000005;1;168;1;0
230120805000006;1;97;3;0
230120805000007;1;146;0;0
230120805000008;5;81;0;0
230120805000009;8;119;1;0
230120805000010;8;51;0;0
230120805000011;5;93;1;0
230120805000012;8;91;1;0
230120805000013;8;10;0;0
230120805000014;1;78;2;0
230120805000015;1;118;0;0
230120805000016;1;99;1;0
230120805000017;1;57;0;0
230120805000018;1;121;2;0
230120805000019;1;6;0;0
230120805000020;1;88;0;0
230120805000021;1;140;3;0
230120805000022;5;49;0;0
230120805000023;5;38;0;0
230120805000024;5;43;0;0
230120815000001;1;47;1;0
230120815000002;8;27;0;0
230120815000003;8;124;1;0
230120815000004;5;42;0;0
230120815000005;8;51;0;0
230120815000006;8;98;0;0
230120815000007;8;58;0;0
230120815000008;8;65;0;0
230120815000009;8;26;0;0
230120815000010;1;123;1;0
230120815000011;5;52;0;0
230120815000012;5;28;0;0
230120816000001;1;135;0;0
230120816000002;8;70;1;0
230120817000001;1;78;6;0
230120817000002;8;80;0;0
230120817000003;5;41;0;0
230120819000001;1;73;2;0
230120819000002;8;42;1;0
230120819000003;5;75;0;0
230120821000001;1;98;1;0
230120821000002;8;37;0;0
230120821000003;8;109;2;0
230120821000004;8;146;0;0
230120821000005;8;49;0;0
230120823000001;1;42;2;0
230120823000002;8;37;0;0
230120824000001;1;73;4;0
230120824000002;8;85;1;0
230120825000001;1;37;0;0
230120825000002;8;120;0;0
230120825000003;1;199;0;0
230120825000004;1;36;0;0
230125705000001;1;118;0;0
230125705000002;1;51;1;0
230125705000003;1;6;"X";"X"
230125705000004;1;171;0;1
230125705000005;1;152;2;0
230125705000006;1;128;0;0
230125705000007;1;44;"X";"X"
230125705000008;1;2;"X";"X"
230125705000009;8;78;0;0
230125705000010;8;122;0;0
230125705000011;8;137;0;0
230125705000012;8;87;0;1
230125705000013;8;123;0;0
230125705000014;8;78;1;0
230125705000015;8;19;0;0
230125705000016;8;100;1;0
230125705000017;5;47;0;0
230125705000018;1;59;"X";"X"
230125705000019;8;58;0;1
230125715000001;1;147;0;0
230125715000002;8;106;1;0
230125715000003;8;67;0;0
230125715000004;1;89;1;1
230130705000001;1;161;1;0
230130705000002;1;143;0;0
230130705000003;1;136;0;0
230130705000004;1;161;0;0
230130705000005;1;93;1;0
230130705000006;1;230;3;1
230130705000008;8;187;0;0
230130705000009;8;215;0;0
230130705000010;8;168;0;1
230130705000011;8;94;1;0
230130705000012;8;200;0;0
230130705000013;8;66;0;0
230130705000014;1;106;0;0
230130705000015;1;104;0;0
230130705000016;1;61;0;0
230130705000017;1;150;0;0
230130705000018;1;115;0;0
230130710000001;1;243;0;0
230130710000002;8;3;0;0
230130710000003;8;29;0;0
230130710000004;8;103;0;0
230130710000005;8;46;0;0
230130715000001;1;118;0;0
230130715000002;8;57;0;0
230130715000003;8;119;1;0
230130715000004;1;234;0;0
230130720000001;1;156;0;0
230130720000002;8;190;0;0
230130720000003;8;101;0;0
230130720000004;1;278;0;0
230130725000001;1;216;0;0
230130725000002;8;126;0;0
230130725000003;8;15;1;0
230140605000001;1;330;0;0
230140605000002;1;140;0;0
230140605000003;8;38;1;0
230140605000004;8;103;0;0
230140605000005;8;281;0;0
230140605000006;8;65;0;0
230140605000007;8;78;0;0
230140605000008;8;39;0;0
230140605000009;8;29;0;0
230140605000010;8;51;1;0
230140605000011;1;134;0;0
230140605000012;8;74;0;0
230140605000013;8;90;0;0
230140605000014;8;56;0;0
230140605000015;8;20;0;0
230140605000016;8;126;3;4
230140605000017;8;62;0;0
230140605000018;8;115;0;0
230140605000019;8;53;0;0
230140620000001;1;123;0;0
230140620000002;8;46;0;1
230140620000003;8;85;0;0
230140620000004;8;41;0;0
230150505000001;1;53;0;0
230150505000002;1;79;0;0
230150505000003;1;15;0;0
230150505000004;1;100;1;0
230150505000005;1;143;0;0
230150505000006;1;51;0;0
230150505000007;1;10;0;0
230150505000008;1;44;0;0
230150505000009;8;6;0;0
